Champion Rank by counts:
         champion     count
91          Sivir  0.008039
125         Ziggs  0.007861
15       Cho'Gath  0.007825
39      Jarvan IV  0.007813
100         Teemo  0.007797
117       Warwick  0.007775
107          Udyr  0.007767
76          Poppy  0.007755
104    Tryndamere  0.007740
17         Darius  0.007704
84           Ryze  0.007622
8            Azir  0.007519
108         Urgot  0.007509
48          Kayle  0.007461
0          Aatrox  0.007386
79        Rek'Sai  0.007352
83         Rumble  0.007206
65    Mordekaiser  0.007203
74        Orianna  0.007187
19      Dr. Mundo  0.007184
80       Renekton  0.007178
49         Kennen  0.007143
127          Zyra  0.006977
56      Lissandra  0.006846
115      Vladimir  0.006827
123           Zac  0.006541
60       Malphite  0.006532
31           Gnar  0.006498
4           Amumu  0.006463
25   Fiddlesticks  0.006445
103       Trundle  0.006397
92        Skarner  0.006340
68          Nasus  0.006262
78         Rammus  0.006239
85        Sejuani  0.006129
90           Sion  0.005966
32         Gragas  0.005961
35   Heimerdinger  0.005916
122        Yorick  0.005909
36         Illaoi  0.005815
28          Galio  0.005697
89         Singed  0.005445
62         Maokai  0.005238
97     Tahm Kench  0.005231
87           Shen  0.005120
44          Karma  0.005083
72           Nunu  0.004856
66        Morgana  0.004797
93           Sona  0.004456
126        Zilean  0.004444
58           Lulu  0.004203
69       Nautilus  0.004116
9            Bard  0.004049
10     Blitzcrank  0.003797
55          Leona  0.003226
101        Thresh  0.002926
99          Taric  0.002839
67           Nami  0.002773
3         Alistar  0.002754
12          Braum  0.002402
38          Janna  0.001501
94         Soraka  0.001080
         champion      auth
54        Lee Sin  0.034077
57         Lucian  0.029830
110         Vayne  0.028309
101        Thresh  0.024401
64   Miss Fortune  0.024165
10     Blitzcrank  0.020528
11          Brand  0.020024
121         Yasuo  0.019053
102      Tristana  0.017558
124           Zed  0.017053
24         Ezreal  0.016906
13        Caitlyn  0.015626
27           Fizz  0.015250
66        Morgana  0.014936
42           Jinx  0.014918
59            Lux  0.014869
40            Jax  0.014685
63      Master Yi  0.014034
81         Rengar  0.013818
82          Riven  0.012893
1            Ahri  0.012548
60       Malphite  0.012468
6           Annie  0.011779
105  Twisted Fate  0.011353
55          Leona  0.011061
80       Renekton  0.010727
21           Ekko  0.010663
17         Darius  0.010007
120      Xin Zhao  0.009939
53        LeBlanc  0.009527
51        Kindred  0.009413
26          Fiora  0.009398
33         Graves  0.009360
19      Dr. Mundo  0.009071
3         Alistar  0.008966
38          Janna  0.008876
94         Soraka  0.008868
12          Braum  0.008808
77          Quinn  0.008765
37         Irelia  0.008593
9            Bard  0.008529
18          Diana  0.008344
76          Poppy  0.008328
97     Tahm Kench  0.008053
68          Nasus  0.007957
69       Nautilus  0.007943
104    Tryndamere  0.007879
115      Vladimir  0.007640
93           Sona  0.007614
58           Lulu  0.007607
103       Trundle  0.007495
36         Illaoi  0.007494
43        Kalista  0.007401
87           Shen  0.007329
118        Wukong  0.007305
75       Pantheon  0.007210
113            Vi  0.007111
30          Garen  0.006997
70        Nidalee  0.006980
29      Gangplank  0.006632
7            Ashe  0.006620
31           Gnar  0.006537
86          Shaco  0.006416
98          Talon  0.006360
100         Teemo  0.006284
116      Volibear  0.006100
107          Udyr  0.006067
20         Draven  0.006011
4           Amumu  0.006000
61       Malzahar  0.005959
78         Rammus  0.005908
22          Elise  0.005904
46       Kassadin  0.005893
84           Ryze  0.005707
34        Hecarim  0.005660
67           Nami  0.005619
15       Cho'Gath  0.005276
114        Viktor  0.005243
74        Orianna  0.005208
8            Azir  0.005192
16          Corki  0.005099
39      Jarvan IV  0.005036
5          Anivia  0.004919
47       Katarina  0.004808
91          Sivir  0.004750
48          Kayle  0.004477
106        Twitch  0.004409
112       Vel'Koz  0.004368
117       Warwick  0.004283
111        Veigar  0.004204
73           Olaf  0.004192
88        Shyvana  0.003894
44          Karma  0.003883
50        Kha'Zix  0.003726
96         Syndra  0.003670
79        Rek'Sai  0.003652
127          Zyra  0.003636
2           Akali  0.003603
56      Lissandra  0.003554
23        Evelynn  0.003506
71       Nocturne  0.003478
35   Heimerdinger  0.003442
109         Varus  0.003297
123           Zac  0.003226
41          Jayce  0.003129
49         Kennen  0.003120
99          Taric  0.002930
95          Swain  0.002860
126        Zilean  0.002755
32         Gragas  0.002692
52        Kog'Maw  0.002643
89         Singed  0.002553
119        Xerath  0.002300
0          Aatrox  0.002249
90           Sion  0.002225
25   Fiddlesticks  0.002225
83         Rumble  0.002194
45        Karthus  0.002012
125         Ziggs  0.002001
14     Cassiopeia  0.001962
62         Maokai  0.001919
72           Nunu  0.001849
85        Sejuani  0.001832
28          Galio  0.001144
92        Skarner  0.001115
122        Yorick  0.000837
65    Mordekaiser  0.000785
108         Urgot  0.000628
