Champion Rank by counts:
         champion   count
58           Lulu  0.007617
103       Trundle  0.007537
87           Shen  0.007385
118        Wukong  0.007380
36         Illaoi  0.007376
115      Vladimir  0.007357
75       Pantheon  0.007213
113            Vi  0.007162
7            Ashe  0.007116
30          Garen  0.007048
70        Nidalee  0.007005
20         Draven  0.006813
86          Shaco  0.006689
31           Gnar  0.006542
29      Gangplank  0.006489
98          Talon  0.006416
116      Volibear  0.006373
107          Udyr  0.006254
100         Teemo  0.006251
22          Elise  0.006241
78         Rammus  0.006232
67           Nami  0.006165
4           Amumu  0.006137
34        Hecarim  0.005954
46       Kassadin  0.005942
61       Malzahar  0.005879
16          Corki  0.005837
84           Ryze  0.005751
15       Cho'Gath  0.005527
91          Sivir  0.005477
39      Jarvan IV  0.005416
114        Viktor  0.005302
8            Azir  0.005297
106        Twitch  0.005247
74        Orianna  0.005245
5          Anivia  0.005130
47       Katarina  0.005069
112       Vel'Koz  0.004850
48          Kayle  0.004840
117       Warwick  0.004750
73           Olaf  0.004656
88        Shyvana  0.004477
44          Karma  0.004465
111        Veigar  0.004434
127          Zyra  0.004373
50        Kha'Zix  0.004341
79        Rek'Sai  0.004291
71       Nocturne  0.004176
2           Akali  0.004175
23        Evelynn  0.004173
96         Syndra  0.004132
109         Varus  0.004091
56      Lissandra  0.004078
123           Zac  0.003956
35   Heimerdinger  0.003832
99          Taric  0.003766
49         Kennen  0.003765
41          Jayce  0.003729
126        Zilean  0.003615
52        Kog'Maw  0.003534
32         Gragas  0.003466
95          Swain  0.003439
89         Singed  0.003272
25   Fiddlesticks  0.003088
90           Sion  0.003057
0          Aatrox  0.003046
119        Xerath  0.002982
83         Rumble  0.002967
62         Maokai  0.002796
45        Karthus  0.002762
14     Cassiopeia  0.002741
125         Ziggs  0.002738
72           Nunu  0.002736
85        Sejuani  0.002712
28          Galio  0.002110
92        Skarner  0.002105
122        Yorick  0.001861
65    Mordekaiser  0.001825
108         Urgot  0.001721

-------------------------------------------------

Champion Rank by HITS
         champion       hub
57         Lucian  0.041681
110         Vayne  0.037859
54        Lee Sin  0.033530
64   Miss Fortune  0.031446
102      Tristana  0.028415
24         Ezreal  0.024641
124           Zed  0.022927
27           Fizz  0.019227
81         Rengar  0.018729
42           Jinx  0.018574
11          Brand  0.017878
13        Caitlyn  0.016928
63      Master Yi  0.016854
59            Lux  0.016174
121         Yasuo  0.015678
1            Ahri  0.013550
53        LeBlanc  0.013337
40            Jax  0.013054
