Champion Rank by counts:
         champion      count
37         Irelia  0.059560  0.071543   -0.011983
80       Renekton  0.065337  0.077863   -0.012527
30          Garen  0.059367  0.072747   -0.013381
17         Darius  0.059016  0.073354   -0.014338
105  Twisted Fate  0.088061  0.103049   -0.014988
60       Malphite  0.095492  0.110927   -0.015434
26          Fiora  0.055673  0.073084   -0.017412
21           Ekko  0.074487  0.093948   -0.019460
33         Graves  0.078132  0.101734   -0.023602
1            Ahri  0.083724  0.117827   -0.034103
53        LeBlanc  0.065595  0.101921   -0.036326
59            Lux  0.104382  0.143724   -0.039343
82          Riven  0.053255  0.098105   -0.044850
40            Jax  0.054587  0.105536   -0.050949
121         Yasuo  0.068042  0.130171   -0.062130
11          Brand  0.094398  0.159790   -0.065392
13        Caitlyn  0.078139  0.144487   -0.066348
81         Rengar  0.065545  0.132015   -0.066470
63      Master Yi  0.051729  0.132362   -0.080633
42           Jinx  0.080969  0.161813   -0.080845
27           Fizz  0.062362  0.144060   -0.081698
124           Zed  0.059156  0.160919   -0.101763
24         Ezreal  0.087247  0.194906   -0.107659
102      Tristana  0.069678  0.221839   -0.152161
64   Miss Fortune  0.091062  0.266270   -0.175208
54        Lee Sin  0.087759  0.304813   -0.217054
110         Vayne  0.066127  0.316993   -0.250866
57         Lucian  0.078239  0.330931   -0.252691

--------------------------------------------------------------

Champion Rank by PageRank
         champion  pagerank
57         Lucian  0.033892
110         Vayne  0.032861
54        Lee Sin  0.032173
64   Miss Fortune  0.027670
102      Tristana  0.023309
24         Ezreal  0.020622
11          Brand  0.017594
42           Jinx  0.017441
124           Zed  0.017341
59            Lux  0.015812
27           Fizz  0.015702
13        Caitlyn  0.015701
63      Master Yi  0.014631
81         Rengar  0.014520
121         Yasuo  0.014102
1            Ahri  0.012968
60       Malphite  0.012359
101        Thresh  0.011896
40            Jax  0.011802
10     Blitzcrank  0.011795
105  Twisted Fate  0.011530
53        LeBlanc  0.011458
33         Graves  0.011353
82          Riven  0.010944
21           Ekko  0.010688
66        Morgana  0.010401
6           Annie  0.010365
51        Kindred  0.009378
43        Kalista  0.009311
77          Quinn  0.009196
120      Xin Zhao  0.009162
19      Dr. Mundo  0.009111
80       Renekton  0.008905
75       Pantheon  0.008552
118        Wukong  0.008518
30          Garen  0.008476
17         Darius  0.008465
26          Fiora  0.008413
18          Diana  0.008413
37         Irelia  0.008276
113            Vi  0.008055
116      Volibear  0.008041
70        Nidalee  0.007777
29      Gangplank  0.007727
86          Shaco  0.007720
46       Kassadin  0.007714
76          Poppy  0.007680
103       Trundle  0.007510
87           Shen  0.007149
16          Corki  0.007144
20         Draven  0.007122
97     Tahm Kench  0.007099
98          Talon  0.007007
22          Elise  0.006915
