champion,picks,wins,win_rate,bans,ban_rate,pick_rate,ban_rate_z,win_rate_z,perceived_minus_actual,quadrant
Sion,5328,2772,0.5202702702702703,173,0.0007769972872464653,0.0023929719921671486,-0.404080333792561,0.9934641016999209,-1.397544435492482,sleeper
Anivia,12570,6569,0.5225934765314241,2499,0.011223793183982178,0.005645581445484433,-0.3121463322050851,1.0903045580811115,-1.4024508902861965,sleeper
Lux,34563,18104,0.5237971240922373,2046,0.009189228032984208,0.01552332788387259,-0.3300509335460681,1.140477364973158,-1.4705282985192263,sleeper
Skarner,2947,1540,0.5225653206650831,392,0.0017605950092521065,0.0013235901765984587,-0.39542446691910554,1.0891309098382242,-1.4845553767573298,sleeper
Taric,7607,3978,0.5229393979229657,328,0.0014731509261089054,0.0034165424069848914,-0.3979540353204807,1.1047239344356992,-1.5026779697561798,sleeper
Rammus,14650,7829,0.5344027303754266,11137,0.05001976178071609,0.006579774715699836,0.029266352968008936,1.5825611221653422,-1.5532947691973333,overpowered
Vel'Koz,10015,5256,0.5248127808287568,202,0.0009072453874207283,0.004498050769811185,-0.4029341231106879,1.1828139682854832,-1.5857480913961712,sleeper
Nami,15958,8381,0.5251911267076075,112,0.0005030271455006019,0.007167238560623753,-0.4064913286751216,1.1985849259445092,-1.6050762546196307,sleeper
Udyr,15507,8182,0.527632682014574,1556,0.006988484271419075,0.00696468030828378,-0.3494179416190961,1.300358640211762,-1.649776581830858,sleeper
Trundle,19759,10580,0.535452198997925,9793,0.043983436034708875,0.00887438693566642,-0.023854583460867884,1.6263071390644201,-1.650161722525288,sleeper
Talon,11797,6242,0.5291175722641349,1611,0.007235506530370264,0.005298402888813036,-0.34724409377416443,1.3622547584548497,-1.709498852229014,sleeper
Sona,18269,9672,0.5294214242706223,741,0.0033280635251423745,0.008205181179598656,-0.38163041423035704,1.3749205158921458,-1.7565509301225029,sleeper
Miss Fortune,54442,29753,0.5465082105727196,16936,0.07606489050176958,0.02445161058512836,0.25846896483635495,2.087165576199961,-1.8286966113636058,overpowered
Volibear,15614,8323,0.5330472652747534,2469,0.011089053770008803,0.007012737365934283,-0.31333206739322966,1.5260599577389093,-1.839392025132139,sleeper
Malzahar,12956,6914,0.5336523618400741,1939,0.008708657456479169,0.005818946158130176,-0.3342800557171171,1.5512827838478775,-1.8855628395649946,sleeper
Amumu,14115,7544,0.5344668792065179,1341,0.006022851804609885,0.0063394894274473165,-0.35791571046746556,1.585235100013575,-1.9431508104810404,sleeper
Janna,28852,15643,0.542180784694302,968,0.004347591757540916,0.012958338573199432,-0.37265835130672975,1.906781292622139,-2.279439643928869,sleeper
