champion,bucket,picks,win_rate,ban_rate,ban_win_salience_residual
Olaf,low,3021,0.47765640516385305,0.007959356477561389,0.2678170827561146
Orianna,low,2469,0.4629404617253949,0.0007790008467400508,0.7307706703050523
Pantheon,low,4111,0.48844563366577476,0.006587637595258255,-0.1311986933557044
Poppy,low,4821,0.46774528106202035,0.051752751905165116,1.0163181670911483
Quinn,low,4620,0.512987012987013,0.03813717188823031,-0.7274648666526099
Rammus,low,3539,0.513421870584911,0.022320067739204065,-0.8850922631644143
Rek'Sai,low,1614,0.4721189591078067,0.0019136325148179508,0.4119928741757071
Renekton,low,5218,0.5024913760061326,0.020880609652836578,-0.5062584489586621
Rengar,low,6565,0.4737242955064737,0.06176121930567316,0.8919025456116558
Riven,low,6240,0.46041666666666664,0.03618966977138019,1.1392230214443355
Rumble,low,1086,0.46408839779005523,0.0006096528365791702,0.688106636108099
Ryze,low,2223,0.4089068825910931,0.004419983065198984,2.7000883920892305
Sejuani,low,1748,0.5051487414187643,0.002201524132091448,-0.7692442066034424
Shaco,low,4005,0.49313358302122345,0.013903471634208298,-0.23352170905914557
Shen,low,4906,0.5136567468406034,0.0059949195596951735,-1.0401144816033177
Shyvana,low,3414,0.5125951962507322,0.0063336155800169346,-0.9990258059942985
Singed,low,1351,0.5114729829755736,0.0017104149026248943,-1.0003220163385915
Sion,low,1603,0.5140361821584529,0.0009652836579170195,-1.0988812620172153
Sivir,low,3549,0.4652014652014652,0.0007790008467400508,0.6497339082710076
Skarner,low,964,0.5186721991701245,0.0025740897544453854,-1.250593537450682
Sona,low,5437,0.5302556556924775,0.0031329381879762913,-1.6607382999029294
Soraka,low,6864,0.4994172494172494,0.26797629127857747,1.8229039017920594
Swain,low,1884,0.5207006369426752,0.003928873835732431,-1.3111285906521077
Syndra,low,1658,0.4686369119420989,0.0014563928873835732,0.5326870080247261
Tahm Kench,low,6178,0.50615085788281,0.30530059271803556,1.9167460037743362
Talon,low,2785,0.5012567324955116,0.006858594411515664,-0.5879287981595697
Taric,low,2298,0.536118363794604,0.001388653683319221,-1.886528095597375
Teemo,low,4722,0.4836933502753071,0.012193056731583404,0.08946627937635238
Thresh,low,13869,0.47537673949095105,0.00768839966130398,0.3470894562294837
Tristana,low,12675,0.4900197238658777,0.01048264182895851,-0.15263762138549927
Trundle,low,4533,0.5318773439223472,0.029923793395427604,-1.4782725964296557
Tryndamere,low,6375,0.5215686274509804,0.18262489415749364,0.2624976575624077
Twisted Fate,low,3969,0.4983623078861174,0.0026418289585097374,-0.5220571828978647
Twitch,low,2646,0.48677248677248675,0.000829805249788315,-0.12293814110698109
Udyr,low,5395,0.5253012048192771,0.011752751905165114,-1.4057573962171923
Urgot,low,471,0.4564755838641189,0.0018797629127857748,0.9723638726537819
Varus,low,2752,0.48255813953488375,0.0005249788314987298,0.0253711133965564
Vayne,low,15936,0.4891440763052209,0.07200677392040644,0.4312489512897764
Veigar,low,3360,0.45863095238095236,0.0622692633361558,1.4374263327160142
Vel'Koz,low,2433,0.5248664200575421,0.0009822184589331076,-1.486896393304551
Vi,low,4785,0.49968652037617556,0.01695173581710415,-0.44101174056804304
Viktor,low,2218,0.4932371505861136,0.0026926333615580017,-0.33790987428461733
Vladimir,low,3810,0.49343832020997375,0.005436071126164267,-0.3204832343926809
Volibear,low,6286,0.5357938275532931,0.02348856900931414,-1.6764334828348029
Warwick,low,4121,0.5124969667556418,0.004301439458086367,-1.0137546178594221
Wukong,low,4511,0.5256040789181999,0.006807790008467401,-1.4610197471495696
Xerath,low,1246,0.5056179775280899,0.0007790008467400508,-0.7988367491041489
Xin Zhao,low,7405,0.49426063470627957,0.036443691786621504,-0.07149949685589578
Yasuo,low,9405,0.48219032429558745,0.37698560541913634,3.4192666752997205
Yorick,low,660,0.44545454545454544,0.0018966977138018628,1.367521654237356
Zac,low,1847,0.4921494315105577,0.0016088060965283658,-0.3086579151896039
Zed,low,8836,0.4846084200995926,0.06487722269263337,0.5297864862897829
Ziggs,low,1409,0.49751596877217885,0.0005927180355630821,-0.510125031609268
Zilean,low,1437,0.4919972164231037,0.0019644369178662153,-0.3000087093570441
Zyra,low,1825,0.5424657534246575,0.0007959356477561389,-2.119348029878955
Aatrox,mid,2437,0.4965121050471892,0.0046037429665038015,-0.36795628803212244
Ahri,mid,13493,0.5187134069517527,0.009057555606512268,-1.2018610699969405
Akali,mid,2814,0.4601990049751244,0.004365618330305329,1.0546487271244585
Alistar,mid,12407,0.48101877972112517,0.005423950046742984,0.24668324072549452
Amumu,mid,7164,0.5300111669458403,0.004956520205316353,-1.6792105365799583
Anivia,mid,6588,0.5221615057680632,0.012832272061806572,-1.305717139997411
