champion,bucket,picks,win_rate,ban_rate,perceived_minus_actual
Graves,low,6534,0.5413223140495868,0.15241384724075674,-0.7444145786859474
Hecarim,low,3401,0.5036753895912967,0.0058246330167203075,-0.6823885550362978
Heimerdinger,low,2914,0.5003431708991077,0.017159902661119397,-0.45789763403481554
Illaoi,low,4821,0.4741754822650902,0.4290603658057932,4.2137557209461365
Irelia,low,3887,0.5140210959608953,0.02091215951016563,-0.9264185765559483
Janna,low,4048,0.5212450592885376,0.0018054792369887745,-1.3638437383450825
Jarvan IV,low,2748,0.49745269286754,0.003187063348771489,-0.47762003216903054
Jax,low,8954,0.5058074603529149,0.6149776277572808,4.7269195407043165
Jayce,low,1530,0.4777777777777778,0.0013815841117827145,0.22867882519138544
Jinx,low,13256,0.5027157513578757,0.007677211712065311,-0.6304566037606133
Kalista,low,3705,0.48690958164642373,0.005965931391788994,-0.06538929702633267
Karma,low,2417,0.47455523376086056,0.0006436925975351283,0.3403797896078953
Karthus,low,962,0.49272349272349275,0.0009105895282204255,-0.3244473910083481
Kassadin,low,2918,0.4732693625771076,0.005400737891514248,0.43045783048199565
Katarina,low,3233,0.49768017321373337,0.014098437867964518,-0.3876781929672966
Kayle,low,2911,0.5104774991411886,0.006170029044665987,-0.9290853342845844
Kennen,low,1726,0.4675550405561993,0.0009733888060287307,0.6004328435938426
Kha'Zix,low,2058,0.446064139941691,0.001193186278357799,1.3916688771817798
Kindred,low,4986,0.4600882470918572,0.07047648952037051,1.5007765851179462
Kog'Maw,low,1911,0.4547357404500262,0.005965931391788994,1.11619897853354
LeBlanc,low,5812,0.45629731589814176,0.042577910354030926,1.3886721803705875
Lee Sin,low,14410,0.46530187369882026,0.03177643457100243,0.9606726371051257
Leona,low,10559,0.5184203049531205,0.009937985713164298,-1.1868418836795724
Lissandra,low,1530,0.4895424836601307,0.0012088860978098752,-0.2049372108253224
Lucian,low,14250,0.5083508771929824,0.010267681921657902,-0.8140708131050219
Lulu,low,3821,0.47683852394661086,0.002354972917811445,0.27194189686994075
Lux,low,12620,0.5229001584786054,0.015637020174267997,-1.3000247992112
Malphite,low,9157,0.5181828109642896,0.04119632624224821,-0.896526361037239
Malzahar,low,4978,0.5393732422659703,0.016076615118926132,-1.9010406976557523
Maokai,low,1331,0.47032306536438767,0.000941989167124578,0.49849392559984596
Master Yi,low,9893,0.5109673506519762,0.09033676112724703,-0.18885173744156597
Miss Fortune,low,16740,0.5516726403823178,0.09237773765601695,-1.6653721921779925
Mordekaiser,low,692,0.4508670520231214,0.01945207630112254,1.3797681666861257
Morgana,low,11035,0.5069324875396466,0.018384488578381347,-0.6888593075950803
Nami,low,3323,0.5218176346674691,0.0006122929586309758,-1.3956205637403398
Nasus,low,7027,0.5224135477444144,0.0383546589214224,-1.0775001012166459
Nautilus,low,6575,0.5224334600760456,0.005447837349870477,-1.374675398078378
Nidalee,low,2912,0.4182692307692308,0.0020252767093178426,2.4199362957998014
Nocturne,low,2053,0.5187530443253775,0.0010675877227411886,-1.2789715432883202
Nunu,low,1436,0.46866295264623953,0.000470994583562289,0.5552187729960061
Olaf,low,3248,0.47814039408866993,0.00772431117042154,0.27250071454141417
Orianna,low,2691,0.4693422519509476,0.0007378915142475862,0.532675787089363
Pantheon,low,4400,0.4888636363636364,0.006672423267132428,-0.1307877023031615
Poppy,low,5182,0.4642994982632188,0.051668105816783105,1.176680878897501
Quinn,low,4955,0.5109989909182644,0.039029751157861683,-0.6522174695502648
Rammus,low,3793,0.5172686527814395,0.022309443441400425,-1.0330979443247321
Rek'Sai,low,1743,0.46930579460699945,0.001931077792605385,0.5447636117033432
Renekton,low,5640,0.5037234042553191,0.020598163121124106,-0.5510632462319053
Rengar,low,7112,0.4760967379077615,0.06429076065625246,0.857138104896192
Riven,low,6792,0.4637809187279152,0.03698877462909177,1.063485722150705
Rumble,low,1170,0.4675213675213675,0.000627992778083052,0.5985579592584269
